statusId | label
533|Acc Gyro
534|Acc Gyro
535|Acc Gyro
536|Acc Gyro
537|Acc Gyro
538|Acc Gyro
539|Acc Gyro
540|Acc Gyro
541|Acc Gyro
542|Acc Gyro
543|Acc Gyro
544|Acc Gyro
545|Acc Gyro
546|Acc Gyro
547|Acc Gyro
548|Acc Gyro
549|Acc Gyro
550|Acc Gyro
551|Acc Gyro
552|Acc Gyro
553|Acc Gyro
554|Acc Gyro
555|Acc Gyro
556|Acc Gyro
557|Acc Gyro
558|Acc Gyro
559|Acc Gyro
560|Acc Gyro
561|Acc Gyro
562|Acc Gyro
563|Acc Gyro
564|Acc Gyro
565|Acc Gyro
566|Acc Gyro
567|Acc Gyro
568|Acc Gyro
569|Acc Gyro
570|Acc Gyro
statusId|sensorName|value|timestamp
533|MPU6500 Acceleration Sensor|[-1.6986861,0.40581718,8.613141]|1500663731169
533|MPU6500 Acceleration Sensor|[-2.9735985,1.4867992,8.641871]|1500663731172
533|MPU6500 Acceleration Sensor|[-1.316811,2.6180596,9.701305]|1500663731177
533|MPU6500 Acceleration Sensor|[0.32920274,2.4025815,9.455899]|1500663731182
533|MPU6500 Acceleration Sensor|[0.01316811,1.2761095,7.9966335]|1500663731188
533|MPU6500 Acceleration Sensor|[-1.3611037,0.18674773,6.4631476]|1500663731193
533|MPU6500 Acceleration Sensor|[-2.4660277,-0.830788,6.591237]|1500663731197
533|MPU6500 Acceleration Sensor|[-2.385822,-1.459266,7.997831]|1500663731202
533|MPU6500 Acceleration Sensor|[-1.8495208,-1.1827357,9.397242]|1500663731207
533|MPU6500 Acceleration Sensor|[-2.4361002,0.33758244,11.081563]|1500663731213
533|MPU6500 Acceleration Sensor|[-2.2744915,2.0829554,10.828975]|1500663731218
533|MPU6500 Acceleration Sensor|[-1.3970166,2.3319526,11.547235]|1500663731222
533|MPU6500 Acceleration Sensor|[-0.63087213,1.0307038,11.166556]|1500663731228
533|MPU6500 Acceleration Sensor|[-0.7386112,-0.11252748,10.011354]|1500663731232
533|MPU6500 Acceleration Sensor|[-1.5526398,-0.80086046,9.102755]|1500663731238
533|MPU6500 Acceleration Sensor|[-2.1667526,-1.0007763,9.238028]|1500663731242
533|MPU6500 Acceleration Sensor|[-1.0426749,-0.58657944,9.543288]|1500663731248
533|MPU6500 Acceleration Sensor|[-0.3866636,0.45010993,8.9279785]|1500663731252
533|MPU6500 Acceleration Sensor|[-0.16639702,1.8207904,7.302315]|1500663731258
533|MPU6500 Acceleration Sensor|[-0.35913026,3.630807,5.519832]|1500663731262
533|MPU6500 Acceleration Sensor|[-1.3563153,3.2333694,4.6782703]|1500663731268
533|MPU6500 Acceleration Sensor|[-1.8327614,1.7298107,5.659893]|1500663731272
533|MPU6500 Acceleration Sensor|[-0.985214,0.2693477,6.2752028]|1500663731277
533|MPU6500 Acceleration Sensor|[-0.22026655,-0.78290397,6.05733]|1500663731282
533|MPU6500 Acceleration Sensor|[-0.4417302,-1.6807296,6.3601966]|1500663731288
533|MPU6500 Acceleration Sensor|[-1.3958195,-1.2497733,7.3322425]|1500663731292
533|MPU6500 Acceleration Sensor|[-1.496376,-0.80205756,10.229227]|1500663731298
533|MPU6500 Acceleration Sensor|[-1.9548657,-0.39743748,14.221559]|1500663731302
533|MPU6500 Acceleration Sensor|[-1.2868834,0.60214174,14.025233]|1500663731308
533|MPU6500 Acceleration Sensor|[-0.19991584,1.1168951,15.258247]|1500663731313
533|MPU6500 Acceleration Sensor|[2.5127146,1.7836803,13.666103]|1500663731317
533|MPU6500 Acceleration Sensor|[3.582923,1.3072342,12.180501]|1500663731322
533|MPU6500 Acceleration Sensor|[0.5315128,0.062249243,10.892421]|1500663731327
533|MPU6500 Acceleration Sensor|[-0.82719666,0.11611878,9.800665]|1500663731332
533|MPU6500 Acceleration Sensor|[-0.4213795,0.90500826,6.861782]|1500663731337
533|MPU6500 Acceleration Sensor|[0.008379706,0.8750807,4.0078936]|1500663731343
533|MPU6500 Acceleration Sensor|[0.30885202,0.6548142,3.417723]|1500663731349
533|MPU6500 Acceleration Sensor|[-1.30484,1.8830396,4.343082]|1500663731352
533|MPU6500 Acceleration Sensor|[-0.79008657,3.394978,5.1906295]|1500663731357
533|MPU6500 Acceleration Sensor|[0.31244332,1.970428,8.431181]|1500663731363
533|MPU6500 Acceleration Sensor|[2.3546975,0.23702596,10.132261]|1500663731367
533|MPU6500 Acceleration Sensor|[2.1332338,1.0630256,11.455058]|1500663731372
533|MPU6500 Acceleration Sensor|[1.2389994,0.7793127,11.6430025]|1500663731377
533|MPU6500 Acceleration Sensor|[1.3826514,-0.59017074,12.161347]|1500663731382
533|MPU6500 Acceleration Sensor|[1.553837,-1.2689269,13.620613]|1500663731387
533|MPU6500 Acceleration Sensor|[-0.34835634,-1.270124,12.376825]|1500663731393
533|MPU6500 Acceleration Sensor|[-1.8016368,-0.2813187,12.8293295]|1500663731398
533|MPU6500 Acceleration Sensor|[0.4381389,2.6013002,11.5616]|1500663731402
533|MPU6500 Acceleration Sensor|[1.4891934,2.8526914,9.25359]|1500663731408
533|MPU6500 Acceleration Sensor|[0.1352724,1.3982137,7.8865004]|1500663731412
533|MPU6500 Acceleration Sensor|[0.40940848,0.7745243,6.815095]|1500663731417
533|MPU6500 Acceleration Sensor|[0.29448682,1.2773066,7.514202]|1500663731423
533|MPU6500 Acceleration Sensor|[-0.545878,2.19668,7.902063]|1500663731427
533|MPU6500 Gyroscope Sensor|[0.05006743,0.027696876,0.033023197]|1500663731427
