statusId | label,,
516|Acc Gyro,,
517|Acc Gyro,,
518|Acc Gyro,,
519|Acc Gyro,,
520|Acc Gyro,,
521|Acc Gyro,,
522|Acc Gyro,,
523|Acc Gyro,,
524|Acc Gyro,,
525|Acc Gyro,,
526|Acc Gyro,,
527|Acc Gyro,,
statusId|sensorName|value|timestamp,,
516|MPU6500 Acceleration Sensor|[-0.5626374,1.9261353,9.293094]|1500643337221
516|MPU6500 Acceleration Sensor|[-0.46806642,2.0446482,9.004593]|1500643337225
516|MPU6500 Acceleration Sensor|[-0.37828386,2.0578163,8.945934]|1500643337229
516|MPU6500 Acceleration Sensor|[-0.2705448,2.171541,9.404425]|1500643337234
516|MPU6500 Acceleration Sensor|[-0.34835634,2.2170308,9.323022]|1500643337239
516|MPU6500 Acceleration Sensor|[-0.62249243,2.1883004,9.522937]|1500643337245
516|MPU6500 Acceleration Sensor|[-0.48722005,2.0015526,9.217676]|1500643337250
516|MPU6500 Acceleration Sensor|[-0.49081135,1.7597382,9.186552]|1500643337255
516|MPU6500 Acceleration Sensor|[-0.6572084,1.6711528,9.3182335]|1500643337260
516|MPU6500 Acceleration Sensor|[-0.7266402,1.7729063,9.357738]|1500643337265
516|MPU6500 Acceleration Sensor|[-0.7254431,1.9141643,9.2308445]|1500643337269
516|MPU6500 Acceleration Sensor|[-0.40940848,1.910573,9.13388]|1500643337275
516|MPU6500 Acceleration Sensor|[-0.33877954,1.8136078,8.937555]|1500643337280
516|MPU6500 Acceleration Sensor|[-0.9708488,1.9728222,9.275137]|1500643337285
516|MPU6500 Acceleration Sensor|[-0.7589619,2.1883004,8.628703]|1500643337289
516|MPU6500 Acceleration Sensor|[-0.60932434,2.1583729,9.306262]|1500643337294
516|MPU6500 Acceleration Sensor|[-0.48123455,2.15957,9.165004]|1500643337300
516|MPU6500 Acceleration Sensor|[-0.37229836,2.3295584,9.045294]|1500643337305
516|MPU6500 Acceleration Sensor|[-0.59495914,2.3762453,9.14226]|1500643337310
516|MPU6500 Acceleration Sensor|[-0.62009823,2.2864625,9.433155]|1500643337315
516|MPU6500 Acceleration Sensor|[-0.60333884,2.0087352,9.854534]|1500643337320
516|MPU6500 Acceleration Sensor|[-0.39624038,1.7705121,9.325416]|1500643337325
516|MPU6500 Acceleration Sensor|[-0.7098808,1.7717092,9.1829605]|1500643337329
516|MPU6500 Acceleration Sensor|[-0.8726865,2.079364,8.9040365]|1500643337335
516|MPU6500 Acceleration Sensor|[-0.6404489,1.9859903,9.306262]|1500643337340
516|MPU6500 Acceleration Sensor|[-0.5243302,1.99437,9.246407]|1500643337345
516|MPU6500 Acceleration Sensor|[-0.7745243,1.9907787,9.064447]|1500643337349
516|MPU6500 Acceleration Sensor|[-0.6631939,2.1619642,8.425196]|1500643337354
516|MPU6500 Acceleration Sensor|[-0.5710171,2.0566192,8.993818]|1500643337359
